model,direction,outcome,proposed_cause,term_type,order,term,coef,se,p,ci_low,ci_high,n_obs,n_countries,lead_joint_p,lead_joint_df,placebo_warning
placebo_populism_to_corruption_L2_F2,populism_to_corruption,v2x_corr,populism_governing,lag,1,populism_governing_lag1,-0.00641670412991802,0.013411770841679061,0.6323689531663355,-0.03271261457567701,0.019879206315840964,3560,95,0.09576196876151817,2,False
placebo_populism_to_corruption_L2_F2,populism_to_corruption,v2x_corr,populism_governing,lag,2,populism_governing_lag2,-0.025583957819634327,0.019816200771980916,0.19676934745137054,-0.0644367720397999,0.013268856400531246,3560,95,0.09576196876151817,2,False
placebo_populism_to_corruption_L2_F2,populism_to_corruption,v2x_corr,populism_governing,lead_placebo,1,populism_governing_lead1,-0.011311176430341564,0.012837081309000273,0.378307844593718,-0.03648031661855382,0.013857963757870687,3560,95,0.09576196876151817,2,False
placebo_populism_to_corruption_L2_F2,populism_to_corruption,v2x_corr,populism_governing,lead_placebo,2,populism_governing_lead2,-0.035743505718063194,0.020066653417838767,0.07496229542253285,-0.07508737219554254,0.003600360759416145,3560,95,0.09576196876151817,2,False
