model,direction,dependent_delta,cause_delta_lag,coef,se,p,ci_low,ci_high,n_obs,n_countries,controls
first_difference_populism_to_corruption,populism_to_corruption,delta_v2x_corr,delta_populism_governing_lag1,-0.002915240317444413,0.006715705851069996,0.6642462888581395,-0.016082090270297677,0.010251609635408849,3750,95,"delta_log_gdppc, delta_v2x_polyarchy"
first_difference_corruption_to_populism,corruption_to_populism,delta_populism_governing,delta_v2x_corr_lag1,-0.01583633747963895,0.029002641037583946,0.585077642576137,-0.07269907555168977,0.04102640059241186,3750,95,"delta_log_gdppc, delta_v2x_polyarchy"
