democracy_group,country_mean_polyarchy_cutoff,lag_order,n_obs,n_countries,coef_lag1,p_lag1,ci_low_lag1,ci_high_lag1,coef_lag2,p_lag2,ci_low_lag2,ci_high_lag2
low_democracy_countries,0.4772305555555556,2,1868,47,-0.08770245835520747,0.13169636972474041,-0.20175747347338968,0.026352556762974738,0.020064789213073697,0.6559653359740734,-0.06825699269609016,0.10838657112223755
high_democracy_countries,0.4772305555555556,2,1882,48,-0.021006106509196907,0.4371233876466958,-0.07401348839557237,0.03200127537717855,-0.00047313382262753704,0.9828732924755368,-0.043694540936263605,0.04274827329100853
