event_time,term,model,direction,outcome,coef,se,p,ci_low,ci_high,reference,n_obs,n_countries,n_events,event_definition,pretrend_joint_p,post_joint_p
-3,event_m3,event_study_corruption_shock,corruption_to_populism,populism_governing,0.05068094327749688,0.023976964060263294,0.03460310659860166,0.0036719407056894082,0.09768994584930435,False,3940,95,51,first within-country increase in v2x_corr >= 0.05,0.08300992203663515,0.02047632822661304
-2,event_m2,event_study_corruption_shock,corruption_to_populism,populism_governing,0.05513507255441097,0.02534111965658952,0.029638124764653773,0.0054515197862205,0.10481862532260144,False,3940,95,51,first within-country increase in v2x_corr >= 0.05,0.08300992203663515,0.02047632822661304
-1,reference,event_study_corruption_shock,corruption_to_populism,populism_governing,0.0,,,0.0,0.0,True,3940,95,51,first within-country increase in v2x_corr >= 0.05,0.08300992203663515,0.02047632822661304
0,event_p0,event_study_corruption_shock,corruption_to_populism,populism_governing,0.06564990580287217,0.02700360929337461,0.01509693218707353,0.012706892019733865,0.11859291958601047,False,3940,95,51,first within-country increase in v2x_corr >= 0.05,0.08300992203663515,0.02047632822661304
1,event_p1,event_study_corruption_shock,corruption_to_populism,populism_governing,0.0697400061665712,0.0280276848691355,0.012879839075410127,0.014789199768251396,0.124690812564891,False,3940,95,51,first within-country increase in v2x_corr >= 0.05,0.08300992203663515,0.02047632822661304
2,event_p2,event_study_corruption_shock,corruption_to_populism,populism_governing,0.07613939102881316,0.02643026473765078,0.003989384528142015,0.024320471006119754,0.12795831105150657,False,3940,95,51,first within-country increase in v2x_corr >= 0.05,0.08300992203663515,0.02047632822661304
