event_time,term,model,direction,outcome,coef,se,p,ci_low,ci_high,reference,n_obs,n_countries,n_events,event_definition,pretrend_joint_p,post_joint_p
-3,event_m3,event_study_populist_entry,populism_to_corruption,v2x_corr,-0.0027015106871083137,0.014794192479218156,0.8551168194429497,-0.03170686059527113,0.026303839221054504,False,3940,95,45,first election-year increase in governing populism >= 0.10 ending at populism >= 0.50,0.9831430603267939,0.2281749389556723
-2,event_m2,event_study_populist_entry,populism_to_corruption,v2x_corr,-0.002051890314520784,0.01522697730131349,0.8928138344391852,-0.031905753936254035,0.027801973307212464,False,3940,95,45,first election-year increase in governing populism >= 0.10 ending at populism >= 0.50,0.9831430603267939,0.2281749389556723
-1,reference,event_study_populist_entry,populism_to_corruption,v2x_corr,0.0,,,0.0,0.0,True,3940,95,45,first election-year increase in governing populism >= 0.10 ending at populism >= 0.50,0.9831430603267939,0.2281749389556723
0,event_p0,event_study_populist_entry,populism_to_corruption,v2x_corr,-0.01996535829702455,0.014815115549524254,0.17785659567576384,-0.04901172977336245,0.009081013179313344,False,3940,95,45,first election-year increase in governing populism >= 0.10 ending at populism >= 0.50,0.9831430603267939,0.2281749389556723
1,event_p1,event_study_populist_entry,populism_to_corruption,v2x_corr,-0.00840547601412357,0.013630059267792758,0.5374784582515331,-0.03512843766861595,0.018317485640368815,False,3940,95,45,first election-year increase in governing populism >= 0.10 ending at populism >= 0.50,0.9831430603267939,0.2281749389556723
2,event_p2,event_study_populist_entry,populism_to_corruption,v2x_corr,0.0022450429378557657,0.01258447120226335,0.8584200542692746,-0.02242794892321385,0.026918034798925378,False,3940,95,45,first election-year increase in governing populism >= 0.10 ending at populism >= 0.50,0.9831430603267939,0.2281749389556723
