democracy_level,v2x_polyarchy_value,n_obs,n_countries,marginal_coef_lag1,marginal_se_lag1,marginal_p_lag1,marginal_ci_low_lag1,marginal_ci_high_lag1,marginal_coef_lag2,marginal_se_lag2,marginal_p_lag2,marginal_ci_low_lag2,marginal_ci_high_lag2
low_p10,0.139,3750,95,-0.08931965620641327,0.06137684736181496,0.14559555855480846,-0.2096182770355706,0.03097896462274405,-0.06366292115419804,0.05397881412118432,0.23823666575864733,-0.1694613968317193,0.042135554523323224
median_p50,0.491,3750,95,-0.04826871707604131,0.031012877136458013,0.11961089718926528,-0.10905395626349901,0.012516522111416399,-0.013548229931726913,0.02636778826166392,0.6073796211294569,-0.0652290949245882,0.038132635061134366
high_p90,0.878,3750,95,-0.0031360084298653196,0.02455928404016063,0.8983932262230835,-0.05127220514858015,0.04500018828884951,0.04154945615661493,0.025516685624961927,0.1034559992101386,-0.008463247668310449,0.0915621599815403
