sample,direction,lag_order,n_obs,n_countries,controls,error,coef_lag1,p_lag1,ci_low_lag1,ci_high_lag1,coef_lag2,p_lag2,ci_low_lag2,ci_high_lag2
all,populism_to_corruption,2,3750,95,"log_gdppc, v2x_polyarchy",,-0.04828271418866661,0.03146307021063688,-0.09227151050987059,-0.004293917867462624,-0.00802645295347239,0.6796340373866083,-0.046130550321978055,0.03007764441503328
election_years,populism_to_corruption,2,845,95,"log_gdppc, v2x_polyarchy",,-0.00983901689810462,0.7985152792840848,-0.0854855044965231,0.06580747070031386,-0.010302830884849712,0.7885248405092093,-0.08568850453048263,0.06508284276078322
government_change_years,populism_to_corruption,2,656,95,"log_gdppc, v2x_polyarchy",,0.01057527827326644,0.804859689584251,-0.07347490611937178,0.09462546266590467,-0.019571458203954957,0.6161714905244966,-0.09622869450872584,0.05708577810081592
ffill_le5,populism_to_corruption,2,3483,95,"log_gdppc, v2x_polyarchy",,-0.04431201496027525,0.045748087340728105,-0.08778627911299028,-0.0008377508075602252,-0.004762319346936771,0.8041385869943818,-0.04241079520625286,0.03288615651237932
ffill_le10,populism_to_corruption,2,3649,95,"log_gdppc, v2x_polyarchy",,-0.05012261465233833,0.027123486004460018,-0.09457643774337687,-0.005668791561299784,-0.009347891372392392,0.6292350781380425,-0.047305860156787484,0.0286100774120027
