outcome,primary_source,n_obs,n_missing,n_countries,n_unique_values,within_sd,within_variance_share,lag1_autocorrelation,lag2_autocorrelation,countries_no_within_variation,median_unique_values_per_country
Composite,v2x_corr,3965,0,96,738,0.10432922362099258,0.1245804017254885,0.9925986579977945,0.9838745807481027,2,15.5
Executive,v2x_execorr,3965,0,96,624,0.12570480126116418,0.17159050856514863,0.987226784339655,0.9728256735643123,3,11.0
Public sector,v2x_pubcorr,3965,0,96,584,0.12009140491069709,0.16037735455401203,0.9896367207021889,0.978398155307122,3,9.0
Legislative,v2lgcrrpt,3770,195,96,615,0.5071893006027559,0.12429426587153632,0.9915492118684494,0.9834845092970863,6,7.0
Judicial,v2jucorrdc,3965,0,96,544,0.4935484508520273,0.1107533248838948,0.9924182959303756,0.9845411661101592,5,5.0
