outcome_key,outcome,sample,joint_statistic,joint_p_value,joint_df,lag1_coefficient,lag1_ci_low,lag1_ci_high,lag1_p_value,n_obs,n_countries
composite,Composite,all,4.639750187983557,0.0982858613322931,2,-0.04828271418866661,-0.09227151050987059,-0.004293917867462624,0.03146307021063688,3750,95
composite,Composite,election_years,0.404319169970893,0.8169645422641275,2,-0.00983901689810462,-0.0854855044965231,0.06580747070031386,0.7985152792840848,845,95
composite,Composite,government_change_years,0.2686593149966931,0.8743017969479658,2,0.01057527827326644,-0.07347490611937178,0.09462546266590467,0.804859689584251,656,95
composite,Composite,ffill_le5,4.033177993796954,0.13310872588047,2,-0.04431201496027525,-0.08778627911299028,-0.0008377508075602252,0.045748087340728105,3483,95
composite,Composite,ffill_le10,4.889765658565744,0.08673629726050514,2,-0.05012261465233833,-0.09457643774337687,-0.005668791561299784,0.027123486004460018,3649,95
executive,Executive,all,0.3033247979184693,0.85927832503558,2,0.014847538501933422,-0.04601655264998514,0.07571162965385199,0.6324759694848301,3750,95
executive,Executive,election_years,0.7633431006006388,0.6827192553181917,2,0.061296612903177776,-0.09383411396281963,0.2164273397691752,0.4381404394512787,845,95
executive,Executive,government_change_years,0.6919810702735597,0.7075191836471095,2,0.06977743941576144,-0.09946393295859936,0.23901881179012224,0.4183142643204485,656,95
executive,Executive,ffill_le5,0.6106836489955648,0.7368714506236834,2,0.02016499704020815,-0.03867271233943567,0.07900270641985198,0.501651123091361,3483,95
executive,Executive,ffill_le10,0.25400423300355135,0.8807318085247476,2,0.014036383867348392,-0.04688180351068103,0.07495457124537781,0.6514708583604161,3649,95
public_sector,Public sector,all,3.7454655526922633,0.15370305129674386,2,-0.054051305997329456,-0.10886950446049085,0.0007668924658319268,0.05329055984363973,3750,95
public_sector,Public sector,election_years,0.659481083476156,0.7191102883348157,2,-0.026595997772290145,-0.1245814782305501,0.07138948268596981,0.5942640518211664,845,95
public_sector,Public sector,government_change_years,0.8081569367958295,0.6675917343597411,2,-0.017559214453980586,-0.11950813934722906,0.0843897104392679,0.7352174406901328,656,95
public_sector,Public sector,ffill_le5,3.4906455538024943,0.17458862669516284,2,-0.05119667609580671,-0.1049468094994852,0.0025534573078717787,0.06191504640407608,3483,95
public_sector,Public sector,ffill_le10,4.039943153075394,0.13265923566131899,2,-0.056366475227286224,-0.11147528553615213,-0.0012576649184203106,0.044998561346033084,3649,95
legislative,Legislative,all,8.046625022966836,0.01789359392485177,2,-0.2681069629089188,-0.5099208971491119,-0.0262930286687256,0.029785113768904914,3576,95
legislative,Legislative,election_years,0.7101476631672867,0.701121676373889,2,-0.1259158028729916,-0.5538095095753348,0.30197790382935163,0.5636021599231809,827,94
legislative,Legislative,government_change_years,1.4442639153077328,0.485715626180382,2,-0.044036346792005014,-0.47267894711670555,0.3846062535326955,0.8401174714085331,640,94
legislative,Legislative,ffill_le5,7.567323928137688,0.022739268388446424,2,-0.24858757937956105,-0.4863559465726872,-0.010819212186434918,0.04045315145634132,3366,95
legislative,Legislative,ffill_le10,8.486515371957811,0.014360732800639103,2,-0.27195634363420595,-0.5134941956612683,-0.030418491607143633,0.027340183621482828,3497,95
judicial,Judicial,all,8.79889203302401,0.012284143230942901,2,-0.35075023780618375,-0.5974293131898014,-0.10407116242256612,0.0053347585348295645,3750,95
judicial,Judicial,election_years,5.199633244540247,0.07428719958338632,2,-0.06687423690739268,-0.4017970810309607,0.2680486072161753,0.6951585451095701,845,95
judicial,Judicial,government_change_years,3.8375384246002238,0.14678751526455416,2,0.05404157153819056,-0.3454191965523135,0.45350233962869463,0.7905106303292646,656,95
judicial,Judicial,ffill_le5,7.357128418891333,0.025259215755207245,2,-0.30632801185681996,-0.54342804594816,-0.06922797776548001,0.01134971907998894,3483,95
judicial,Judicial,ffill_le10,8.64750194811884,0.013250089470801004,2,-0.35210809568524193,-0.6002780362143677,-0.10393815515611618,0.005434861561730564,3649,95
