outcome_key,outcome,association_std_beta,association_ci_low,association_ci_high,association_p,association_fdr_q,pop_to_corr_granger_p,pop_to_corr_fdr_q,corr_to_pop_granger_p,corr_to_pop_fdr_q,association_n,direction_n_forward,direction_n_reverse
composite,Composite,-0.09704040367859047,-0.18765818901355133,-0.006422618343629597,0.03583451304327134,,0.6861926227659976,,0.24071123940684808,,3940,3750,3750
executive,Executive,0.020887369927898275,-0.07994893106023744,0.12172367091603399,0.6846779092519235,0.6846779092519235,0.495822695917679,0.6610969278902387,0.869698310648094,0.869698310648094,3940,3750,3750
public_sector,Public sector,-0.09706865589826419,-0.1969043611147961,0.002767049318267671,0.056693301918256056,0.11338660383651211,0.7342627565166988,0.8391574360190843,0.2266940817719649,0.5023068865568812,3940,3750,3750
legislative,Legislative,-0.0758002592260415,-0.18140003021833254,0.02979951176624953,0.1594101936974719,0.21254692492996252,0.003491547380784979,0.02793237904627983,0.06415248442673888,0.2566099377069555,3745,3501,3527
judicial,Judicial,-0.17348908649455055,-0.2843421299552178,-0.0626360430338833,0.0021673214064068524,0.00866928562562741,0.3160805456919066,0.5057288731070505,0.2511534432784406,0.5023068865568812,3940,3750,3750
