outcome_key,outcome,measure,coefficient,std_error,p_value,ci_low,ci_high,standardized_coefficient,n_obs,n_countries
legislative,Legislative,continuous_latent_primary,-0.2430965396710255,0.17273361072594176,0.1594101936974719,-0.5817621218259125,0.09556904248386144,-0.0758002592260415,3745,95
legislative,Legislative,five_level_ordinal_01,-0.04600789495246356,0.040597888803075764,0.25718129966178016,-0.12560507113589484,0.033589281230967716,-0.06643562686294259,3745,95
judicial,Judicial,continuous_latent_primary,-0.5395278194766288,0.17583389883131936,0.0021673214064068524,-0.8842659354535112,-0.19478970349974628,-0.17348908649455055,3940,95
judicial,Judicial,five_level_ordinal_01,-0.08167753211216826,0.03659068970025238,0.02566028619443217,-0.15341685833652025,-0.00993820588781627,-0.13650540341911693,3940,95
